Programming,DataPer,Date
Java,24.78,2003/1/28
Java,24.6,2003-02-31
Java,24.66,2003/3/30
Java,23.11,2003/4/30
Java,22.34,2003/5/30
Java,23.21,2003-06-31
Java,22.24,2003/7/31
Java,21.9,2003/8/30
Java,23.08,2003-09-31
Java,25.01,2003/10/30
Java,23.57,2003-11-31
Java,22.56,2004-00-31
Java,23.17,2004/1/29
Java,24.24,2004-02-31
Java,18.69,2004/3/30
Java,17.54,2004/4/30
Java,17.05,2004/5/30
Java,17,2004-06-31
Java,15.9,2004/7/30
Java,17.05,2004/8/30
Java,14.8,2004-09-31
Java,16.33,2004/10/30
Java,17.48,2004-11-31
Java,18.34,2005-00-31
Java,18.87,2005/1/28
Java,16.98,2005-02-31
Java,17.4,2005/3/30
Java,18.57,2005-04-31
Java,19.66,2005/5/30
Java,21.21,2005-06-31
Java,22.44,2005/7/31
Java,21.87,2005/8/30
Java,22.13,2005/11/3
Java,22.25,2006-00-04
Java,22.43,2006/1/2
Java,21.89,2006/2/1
Java,21.28,2006/3/2
Java,21.32,2006/4/1
Java,21.13,2006/5/1
Java,21.85,2006/6/2
Java,22.38,2006/7/2
Java,21.53,2006/8/2
Java,21.17,2006/9/1
Java,20.4,2006/10/2
Java,19.91,2006/11/1
Java,19.16,2007-00-02
Java,18.98,2007/1/3
Java,18.04,2007/2/3
Java,18.36,2007/3/1
Java,19.14,2007/4/5
Java,20.03,2007/5/2
Java,21.01,2007/6/2
Java,21.77,2007/7/5
Java,21.7,2007/8/2
Java,21.62,2007/9/4
Java,20.54,2007/10/4
Java,20.05,2007/11/3
Java,20.85,2008-00-03
Java,21.48,2008/1/7
Java,20.89,2008/5/1
Java,21.34,2008/6/2
Java,21.57,2008/7/3
Java,20.71,2008/8/3
Java,20.95,2008/9/6
Java,20.3,2008/10/2
Java,17.92,2008/11/3
Java,19.02,2009-00-02
Java,19.4,2009/1/1
Java,19.8,2009/2/5
Java,19.34,2009/3/7
Java,19.54,2009/4/1
Java,20.15,2009/5/4
Java,20.45,2009/6/2
Java,19.53,2009/7/1
Java,19.38,2009/8/5
Java,18.65,2009/9/2
Java,18.37,2009/10/2
Java,17.06,2009/11/2
Java,17.48,2010-00-05
Java,17.35,2010/1/7
Java,17.51,2010/2/7
Java,18.05,2010/3/5
Java,17.96,2010/4/15
Java,18.67,2010/6/6
Java,17.99,2010/6/30
Java,17.92,2010/8/11
Java,18.17,2010/9/2
Java,18.51,2010/10/3
Java,18,2010/11/7
Java,17.77,2011-00-02
Java,18.48,2011/1/8
Java,19.71,2011/2/8
Java,19.04,2011/3/3
Java,18.16,2011/4/2
Java,18.58,2011/5/5
Java,18.58,2011/5/27
Java,19.25,2011/6/8
Java,19.41,2011/7/3
Java,18.76,2011/8/10
Java,17.91,2011/9/9
Java,17.87,2011/10/7
Java,17.56,2011/11/4
Java,17.47,2012-00-08
Java,17.05,2012/1/5
Java,17.11,2012/2/11
Java,17.03,2012/3/8
Java,16.6,2012/4/9
Java,16.26,2012/5/10
Java,16.09,2012/6/4
Java,16.35,2012/7/10
Java,16.27,2012/8/2
Java,17.19,2012/9/5
Java,17.46,2012/10/4
Java,17.57,2012/11/2
Java,17.42,2013-00-05
Java,18.39,2013/1/8
Java,18.16,2013/2/11
Java,17.68,2013/3/7
Java,16.91,2013/4/8
Java,16.66,2013/5/9
Java,15.91,2013/6/7
Java,15.91,2013/6/12
Java,15.98,2013/7/4
Java,16.15,2013/8/11
Java,16.11,2013/9/10
Java,16.52,2013/10/9
Java,17.31,2013/11/6
Java,16.52,2014-00-01
Java,17.32,2014/1/8
Java,16.41,2014/2/3
Java,17.35,2014/3/10
Java,16.91,2014/4/7
Java,16.11,2014/5/8
Java,15.69,2014/6/6
Java,14.98,2014/7/11
Java,14.14,2014/8/1
Java,13.51,2014/9/3
Java,14.39,2014/10/8
Java,14.96,2014/11/7
Java,15.53,2015-00-06
Java,15.34,2015/1/5
Java,15.58,2015/2/7
Java,16.04,2015/3/13
Java,16.87,2015/4/13
Java,17.82,2015/5/6
Java,17.73,2015/6/12
Java,19.27,2015/7/6
Java,19.56,2015/8/5
Java,19.54,2015/9/4
Java,20.4,2015/10/7
Java,20.97,2015/11/4
Java,21.47,2016-00-02
Java,21.14,2016/1/2
Java,20.53,2016/2/3
Java,20.85,2016/3/7
Java,20.96,2016/4/6
Java,20.79,2016/5/5
Java,19.8,2016/6/4
Java,19.01,2016/7/6
Java,18.24,2016/8/8
Java,18.8,2016/9/7
Java,18.75,2016/10/5
Java,17.86,2016/11/4
Java,17.28,2017-00-07
Java,16.68,2017/1/8
Java,16.38,2017/2/7
Java,15.57,2017/3/9
Java,14.64,2017/4/6
Java,14.49,2017/5/3
Java,13.77,2017/6/7
Java,12.96,2017/7/2
Java,12.69,2017/8/6
Java,12.43,2017/9/5
Java,13.23,2017/10/12
Java,13.27,2017/11/9
Java,14.22,2018-00-03
Java,14.99,2018/1/8
Java,14.94,2018/2/7
Java,15.78,2018/3/1
Java,16.38,2018/4/6
Java,15.37,2018/5/10
Java,16.14,2018/6/7
Java,16.88,2018/7/1
Java,17.44,2018/8/3
Java,17.8,2018/9/5
Java,16.75,2018/10/8
Java,15.93,2018/11/2
Java,16.9,2019-00-04
Java,15.88,2019/1/6
Java,14.88,2019/2/2
Java,15.04,2019/3/7
Java,16,2019/4/4
Java,15,2019/5/9
Java,15.06,2019/6/6
Java,16.03,2019/7/5
Java,16.66,2019/8/9
Java,16.88,2019/9/5
Java,16.25,2019/10/3
Java,17.25,2019/11/6
Java,16.9,2020-00-05
Java,17.36,2020/1/4
Java,17.78,2020/2/4
Java,16.73,2020/3/2
Java,16.28,2020/4/2
Python,1.25,2001/5/30
Python,1.13,2001/6/30
Python,1.2,2001/7/30
Python,1.17,2001/8/28
Python,1.28,2001/9/26
Python,1.23,2001/10/28
Python,1.04,2001-11-31
Python,1.02,2002-00-30
Python,0.99,2002/1/27
Python,0.99,2002-02-29
Python,1.07,2002/3/29
Python,1.06,2002/4/29
Python,1.13,2002/5/29
Python,1.08,2002-06-31
Python,1.22,2002/7/29
Python,1.08,2002/8/29
Python,1.19,2002/9/30
Python,1,2002/10/29
Python,1,2002-11-31
Python,1.03,2003-00-31
Python,0.97,2003/1/28
Python,0.99,2003-02-31
Python,1.01,2003/3/30
Python,1.16,2003/4/30
Python,1.28,2003/5/30
Python,1.3,2003-06-31
Python,1.42,2003/7/31
Python,1.49,2003/8/30
Python,1.77,2003-09-31
Python,1.1,2003/10/30
Python,1.13,2003-11-31
Python,1.01,2004-00-31
Python,1.02,2004/1/29
Python,1.01,2004-02-31
Python,4.57,2004/3/30
Python,6.58,2004/4/30
Python,4.96,2004/5/30
Python,4.7,2004-06-31
Python,5.6,2004/7/30
Python,4.44,2004/8/30
Python,5.2,2004-09-31
Python,3.03,2004/10/30
Python,2.84,2004-11-31
Python,2.51,2005-00-31
Python,2.42,2005/1/28
Python,2.7,2005-02-31
Python,2.48,2005/3/30
Python,2.8,2005-04-31
Python,2.52,2005/5/30
Python,2.88,2005-06-31
Python,3.03,2005/7/31
Python,2.88,2005/8/30
Python,2.68,2005/11/3
Python,2.6,2006-00-04
Python,2.67,2006/1/2
Python,3.09,2006/2/1
Python,2.76,2006/3/2
Python,3.04,2006/4/1
Python,3.46,2006/5/1
Python,3.02,2006/6/2
Python,3.07,2006/7/2
Python,3.14,2006/8/2
Python,3.47,2006/9/1
Python,3.64,2006/10/2
Python,3.76,2006/11/1
Python,3.5,2007-00-02
Python,3.57,2007/1/3
Python,3.9,2007/2/3
Python,3.81,2007/3/1
Python,3.78,2007/4/5
Python,3.16,2007/5/2
Python,3.02,2007/6/2
Python,2.75,2007/7/5
Python,3.03,2007/8/2
Python,3.43,2007/9/4
Python,4.23,2007/10/4
Python,4.7,2007/11/3
Python,5.54,2008-00-03
Python,4.76,2008/1/7
Python,4.9,2008/5/1
Python,4.97,2008/6/2
Python,4.98,2008/7/3
Python,5.01,2008/8/3
Python,4.56,2008/9/6
Python,5.14,2008/10/2
Python,4.17,2008/11/3
Python,4.73,2009-00-02
Python,4.57,2009/1/1
Python,5.18,2009/2/5
Python,6.08,2009/3/7
Python,5.55,2009/4/1
Python,4.76,2009/5/4
Python,4.43,2009/6/2
Python,4.49,2009/7/1
Python,3.93,2009/8/5
Python,3.9,2009/9/2
Python,4.67,2009/10/2
Python,5.19,2009/11/2
Python,4.45,2010-00-05
Python,4.31,2010/1/7
Python,4.23,2010/2/7
Python,4.21,2010/3/5
Python,4.1,2010/4/15
Python,4.22,2010/6/6
Python,4.22,2010/6/30
Python,4.58,2010/8/11
Python,4.86,2010/9/2
Python,5.68,2010/10/3
Python,6.48,2010/11/7
Python,6.26,2011-00-02
Python,7.04,2011/1/8
Python,5.74,2011/2/8
Python,4.93,2011/3/3
Python,4.58,2011/4/2
Python,3.9,2011/5/5
Python,3.9,2011/5/27
Python,3.58,2011/6/8
Python,3.41,2011/7/3
Python,4,2011/8/10
Python,3.94,2011/9/9
Python,3.62,2011/10/7
Python,3.49,2011/11/4
Python,3.21,2012-00-08
Python,3.15,2012/1/5
Python,3.29,2012/2/11
Python,3.66,2012/3/8
Python,3.82,2012/4/9
Python,3.85,2012/5/10
Python,4,2012/6/4
Python,3.88,2012/7/10
Python,3.86,2012/8/2
Python,3.9,2012/9/5
Python,4.06,2012/10/4
Python,3.85,2012/11/2
Python,4.17,2013-00-05
Python,4.95,2013/1/8
Python,4.39,2013/2/11
Python,4.44,2013/3/7
Python,4.32,2013/4/8
Python,4.18,2013/5/9
Python,4.03,2013/6/7
Python,4.03,2013/6/12
Python,3.6,2013/7/4
Python,3.17,2013/8/11
Python,3.11,2013/9/10
Python,3.11,2013/10/9
Python,2.21,2013/11/6
Python,2.37,2014-00-01
Python,2.16,2014/1/8
Python,2.02,2014/2/3
Python,1.99,2014/3/10
Python,3.06,2014/4/7
Python,2.71,2014/5/8
Python,2.66,2014/6/6
Python,3.12,2014/7/11
Python,2.78,2014/8/1
Python,2.33,2014/9/3
Python,2.59,2014/10/8
Python,2.29,2014/11/7
Python,2.61,2015-00-06
Python,2.88,2015/1/5
Python,2.61,2015/2/7
Python,2.69,2015/3/13
Python,3.72,2015/4/13
Python,4,2015/5/6
Python,4.26,2015/6/12
Python,4.07,2015/7/6
Python,3.66,2015/8/5
Python,4.51,2015/9/4
Python,3.77,2015/10/7
Python,4.43,2015/11/4
Python,3.85,2016-00-02
Python,4.18,2016/1/2
Python,4.26,2016/2/3
Python,3.33,2016/3/7
Python,3.79,2016/4/6
Python,3.9,2016/5/5
Python,4.17,2016/6/4
Python,4.4,2016/7/6
Python,4.3,2016/8/8
Python,3.77,2016/9/7
Python,3.57,2016/10/5
Python,4.24,2016/11/4
Python,3.46,2017-00-07
Python,4.04,2017/1/8
Python,3.92,2017/2/7
Python,3.46,2017/3/9
Python,3.55,2017/4/6
Python,4.33,2017/5/3
Python,3.54,2017/6/7
Python,3.69,2017/7/2
Python,2.98,2017/8/6
Python,3.8,2017/9/5
Python,4.48,2017/10/12
Python,3.78,2017/11/9
Python,4.68,2018-00-03
Python,5.17,2018/1/8
Python,5.87,2018/2/7
Python,5.8,2018/3/1
Python,5.19,2018/4/6
Python,5.76,2018/5/10
Python,6.36,2018/6/7
Python,6.99,2018/7/1
Python,7.65,2018/8/3
Python,7.16,2018/9/5
Python,7.68,2018/10/8
Python,8.38,2018/11/2
Python,8.29,2019-00-04
Python,7.57,2019/1/6
Python,8.26,2019/2/2
Python,8.17,2019/3/7
Python,7.83,2019/4/4
Python,8.53,2019/5/9
Python,9.26,2019/6/6
Python,10.02,2019/7/5
Python,9.87,2019/8/9
Python,9.09,2019/9/5
Python,9.84,2019/10/3
Python,10.31,2019/11/6
Python,9.7,2020-00-05
Python,9.35,2020/1/4
Python,10.11,2020/2/4
Python,9.31,2020/3/2
Python,9.12,2020/4/2
C++,14.2,2001/5/30
C++,16.11,2001/6/30
C++,16.12,2001/7/30
C++,15.85,2001/8/28
C++,16.1,2001/9/26
C++,15.67,2001/10/28
C++,14.96,2001-11-31
C++,15.18,2002-00-30
C++,15.54,2002/1/27
C++,15.91,2002-02-29
C++,15.37,2002/3/29
C++,14.86,2002/4/29
C++,14.18,2002/5/29
C++,14.94,2002-06-31
C++,14.77,2002/7/29
C++,15.9,2002/8/29
C++,15.03,2002/9/30
C++,13.64,2002/10/29
C++,13.19,2002-11-31
C++,14.63,2003-00-31
C++,15.53,2003/1/28
C++,14.57,2003-02-31
C++,15.8,2003/3/30
C++,15.58,2003/4/30
C++,16.72,2003/5/30
C++,16.58,2003-06-31
C++,17.53,2003/7/31
C++,16.17,2003/8/30
C++,16.31,2003-09-31
C++,17.42,2003/10/30
C++,16.08,2003-11-31
C++,15.71,2004-00-31
C++,14.5,2004/1/29
C++,15.99,2004-02-31
C++,12.27,2004/3/30
C++,12.55,2004/4/30
C++,13.44,2004/5/30
C++,15.31,2004-06-31
C++,14.92,2004/7/30
C++,15.02,2004/8/30
C++,13.86,2004-09-31
C++,11.91,2004/10/30
C++,11.93,2004-11-31
C++,11.34,2005-00-31
C++,11.63,2005/1/28
C++,10.19,2005-02-31
C++,9.9,2005/3/30
C++,9.72,2005-04-31
C++,11.06,2005/5/30
C++,10.51,2005-06-31
C++,11.17,2005/7/31
C++,11.82,2005/8/30
C++,11.03,2005/11/3
C++,11.46,2006-00-04
C++,11.3,2006/1/2
C++,11.16,2006/2/1
C++,10.9,2006/3/2
C++,10.94,2006/4/1
C++,10.67,2006/5/1
C++,9.78,2006/6/2
C++,10.25,2006/7/2
C++,10.75,2006/8/2
C++,11.06,2006/9/1
C++,11.05,2006/10/2
C++,10.41,2006/11/1
C++,10.42,2007-00-02
C++,10.77,2007/1/3
C++,11.11,2007/2/3
C++,10.72,2007/3/1
C++,10.11,2007/4/5
C++,11.12,2007/5/2
C++,10.5,2007/6/2
C++,10.11,2007/7/5
C++,9.94,2007/8/2
C++,9.58,2007/9/4
C++,8.75,2007/10/4
C++,7.87,2007/11/3
C++,8.73,2008-00-03
C++,9.27,2008/1/7
C++,10.81,2008/5/1
C++,10.69,2008/6/2
C++,10.06,2008/7/3
C++,10.72,2008/8/3
C++,10.95,2008/9/6
C++,10.36,2008/10/2
C++,10.1,2008/11/3
C++,10.12,2009-00-02
C++,9.63,2009/1/1
C++,10.36,2009/2/5
C++,10.74,2009/3/7
C++,11.07,2009/4/1
C++,10.59,2009/5/4
C++,10.42,2009/6/2
C++,10.5,2009/7/1
C++,9.99,2009/8/5
C++,9.88,2009/9/2
C++,10,2009/10/2
C++,9.18,2009/11/2
C++,9.71,2010-00-05
C++,9.45,2010/1/7
C++,9.61,2010/2/7
C++,9.71,2010/3/5
C++,10.38,2010/4/15
C++,10.47,2010/6/6
C++,9.66,2010/6/30
C++,9.81,2010/8/11
C++,9.8,2010/9/2
C++,9.5,2010/10/3
C++,9.01,2010/11/7
C++,8.78,2011-00-02
C++,8.19,2011/1/8
C++,8.75,2011/2/8
C++,9.23,2011/3/3
C++,9.15,2011/4/2
C++,9.83,2011/5/5
C++,9.83,2011/5/27
C++,9.02,2011/6/8
C++,8.43,2011/7/3
C++,8.85,2011/8/10
C++,9.07,2011/9/9
C++,8.08,2011/10/7
C++,8.25,2011/11/4
C++,8.05,2012-00-08
C++,7.85,2012/1/5
C++,8.05,2012/2/11
C++,8.9,2012/3/8
C++,9.82,2012/4/9
C++,9.36,2012/5/10
C++,9.12,2012/6/4
C++,9.33,2012/7/10
C++,9.15,2012/8/2
C++,9.26,2012/9/5
C++,9.7,2012/10/4
C++,9.2,2012/11/2
C++,9.14,2013-00-05
C++,8.76,2013/1/8
C++,9.11,2013/2/11
C++,9.71,2013/3/7
C++,9.2,2013/4/8
C++,8.82,2013/5/9
C++,8.75,2013/6/7
C++,8.75,2013/6/12
C++,9.37,2013/7/4
C++,8.66,2013/8/11
C++,8.66,2013/9/10
C++,8.37,2013/10/9
C++,8.27,2013/11/6
C++,7.56,2014-00-01
C++,6.89,2014/1/8
C++,6.31,2014/2/3
C++,6.14,2014/3/10
C++,5.99,2014/4/7
C++,6.43,2014/5/8
C++,5.52,2014/6/6
C++,4.7,2014/7/11
C++,4.67,2014/8/1
C++,4.87,2014/9/3
C++,6.1,2014/10/8
C++,6.1,2014/11/7
C++,6.7,2015-00-06
C++,6.61,2015/1/5
C++,6.64,2015/2/7
C++,6.96,2015/3/13
C++,7.87,2015/4/13
C++,7.76,2015/5/6
C++,8.64,2015/6/12
C++,7.74,2015/7/6
C++,6.78,2015/8/5
C++,5.75,2015/9/4
C++,6.2,2015/10/7
C++,5.94,2015/11/4
C++,6.91,2016-00-02
C++,6.91,2016/1/2
C++,6.72,2016/2/3
C++,5.92,2016/3/7
C++,6.7,2016/4/6
C++,6.2,2016/5/5
C++,6.31,2016/6/4
C++,5.8,2016/7/6
C++,6.66,2016/8/8
C++,5.8,2016/9/7
C++,5.41,2016/10/5
C++,5.34,2016/11/4
C++,6.3,2017-00-07
C++,5.43,2017/1/8
C++,5.18,2017/2/7
C++,4.55,2017/3/9
C++,4.75,2017/4/6
C++,5.72,2017/5/3
C++,5.58,2017/6/7
C++,5.55,2017/7/2
C++,5.56,2017/8/6
C++,5.01,2017/9/5
C++,5.34,2017/10/12
C++,4.72,2017/11/9
C++,5.6,2018-00-03
C++,5.73,2018/1/8
C++,6.45,2018/2/7
C++,7.22,2018/3/1
C++,7.67,2018/4/6
C++,8.34,2018/5/10
C++,7.62,2018/6/7
C++,7.47,2018/7/1
C++,7.39,2018/8/3
C++,7.59,2018/9/5
C++,8.28,2018/10/8
C++,7.56,2018/11/2
C++,8.16,2019-00-04
C++,7.44,2019/1/6
C++,8.13,2019/2/2
C++,8.84,2019/3/7
C++,8.1,2019/4/4
C++,7.38,2019/5/9
C++,6.7,2019/6/6
C++,6.06,2019/7/5
C++,5.64,2019/8/9
C++,6.23,2019/9/5
C++,5.6,2019/10/3
C++,6.2,2019/11/6
C++,5.57,2020-00-05
C++,6.16,2020/1/4
C++,6.79,2020/2/4
C++,6.78,2020/3/2
C++,6.13,2020/4/2
C#,0.38,2001/5/30
C#,0.43,2001/6/30
C#,0.38,2001/7/30
C#,0.39,2001/8/28
C#,0.42,2001/9/26
C#,0.76,2001/10/28
C#,0.59,2001-11-31
C#,0.62,2002-00-30
C#,0.74,2002/1/27
C#,0.74,2002-02-29
C#,1.18,2002/3/29
C#,1.16,2002/4/29
C#,1.46,2002/5/29
C#,1.36,2002-06-31
C#,1.46,2002/7/29
C#,1.65,2002/8/29
C#,1.78,2002/9/30
C#,2.38,2002/10/29
C#,2.45,2002-11-31
C#,1.99,2003-00-31
C#,1.98,2003/1/28
C#,2.38,2003-02-31
C#,1.88,2003/3/30
C#,1.94,2003/4/30
C#,1.78,2003/5/30
C#,2,2003-06-31
C#,2.06,2003/7/31
C#,1.94,2003/8/30
C#,1.9,2003-09-31
C#,1.71,2003/10/30
C#,1.8,2003-11-31
C#,2.18,2004-00-31
C#,2.24,2004/1/29
C#,2.14,2004-02-31
C#,1.88,2004/3/30
C#,1.65,2004/4/30
C#,1.67,2004/5/30
C#,1.63,2004-06-31
C#,1.63,2004/7/30
C#,1.64,2004/8/30
C#,1.5,2004-09-31
C#,1.95,2004/10/30
C#,2.2,2004-11-31
C#,2.36,2005-00-31
C#,2.53,2005/1/28
C#,2.82,2005-02-31
C#,2.77,2005/3/30
C#,2.78,2005-04-31
C#,3.14,2005/5/30
C#,3.48,2005-06-31
C#,3.29,2005/7/31
C#,3.46,2005/8/30
C#,3.31,2005/11/3
C#,3.55,2006-00-04
C#,3.97,2006/1/2
C#,3.15,2006/2/1
C#,3.95,2006/3/2
C#,3.27,2006/4/1
C#,3.24,2006/5/1
C#,3.4,2006/6/2
C#,2.68,2006/7/2
C#,2.99,2006/8/2
C#,3.06,2006/9/1
C#,3.02,2006/10/2
C#,3.17,2006/11/1
C#,3.52,2007-00-02
C#,3.19,2007/1/3
C#,3.37,2007/2/3
C#,3.55,2007/3/1
C#,3.66,2007/4/5
C#,3.48,2007/5/2
C#,3.71,2007/6/2
C#,3.99,2007/7/5
C#,3.58,2007/8/2
C#,3.74,2007/9/4
C#,3.92,2007/10/4
C#,3.99,2007/11/3
C#,4.86,2008-00-03
C#,4.51,2008/1/7
C#,4.06,2008/5/1
C#,4,2008/6/2
C#,3.7,2008/7/3
C#,4.33,2008/8/3
C#,3.77,2008/9/6
C#,4.03,2008/10/2
C#,4.58,2008/11/3
C#,5.61,2009-00-02
C#,5.06,2009/1/1
C#,4.32,2009/2/5
C#,4.06,2009/3/7
C#,4.27,2009/4/1
C#,4.54,2009/5/4
C#,4.54,2009/6/2
C#,4.44,2009/7/1
C#,4.19,2009/8/5
C#,4.42,2009/9/2
C#,5.35,2009/10/2
C#,6.26,2009/11/2
C#,5.77,2010-00-05
C#,5.01,2010/1/7
C#,4.26,2010/2/7
C#,4.43,2010/3/5
C#,4.78,2010/4/15
C#,5.73,2010/6/6
C#,4.99,2010/6/30
C#,5.02,2010/8/11
C#,4.96,2010/9/2
C#,5.71,2010/10/3
C#,6.69,2010/11/7
C#,6.23,2011-00-02
C#,6.81,2011/1/8
C#,7.21,2011/2/8
C#,7.19,2011/3/3
C#,7.54,2011/4/2
C#,6.84,2011/5/5
C#,6.84,2011/5/27
C#,6.22,2011/6/8
C#,6.04,2011/7/3
C#,6.82,2011/8/10
C#,6.72,2011/9/9
